network,bn_size_config,transaction_type,transaction_hash,gas_used,block_number,claim_id,profile,notes
Sepolia,4,CPTStore_init,243969af43a058078f5589337071a5e6b4f122e9143da00d0d626e13322f3076,79185,10930934,,asymmetric,"setEvidenceCPT(0,0,0)"
Sepolia,4,CPTStore_init,c1909c64c66166b5b0c011176c09aa65e3beaf9c13860ac0141670aca1c7c521,79204,10930935,,asymmetric,"setEvidenceCPT(1,1,0)"
Sepolia,4,CPTStore_init,83a01f2076abaa8e3e7d3792025800b391f12a4ef020e7502e6742516cda0587,79204,10930936,,asymmetric,"setEvidenceCPT(1,0,1)"
Sepolia,4,CPTStore_init,60f98d1fb4b9ef70cd4f56f281992ae20a4e8f2d0d43819e9d4e0638e39d06f3,79214,10930937,,asymmetric,"setEvidenceCPT(1,1,1)"
Sepolia,4,CPTStore_init,0093cfccacc75cbc3da7a15ed9fa573e075c465836eb67a68e979d731457d189,79195,10930938,,asymmetric,"setEvidenceCPT(1,0,0)"
Sepolia,4,CPTStore_init,a6246b7a62e04d8399506e9b02194d6163387508f0838cd28b7c6d509bf54b36,79204,10930939,,asymmetric,"setEvidenceCPT(2,1,0)"
Sepolia,4,CPTStore_init,30b0916003181c00f3e7edca671ef245796525df1577e9ecca67c68e70323c10,79204,10930940,,asymmetric,"setEvidenceCPT(2,0,1)"
Sepolia,4,CPTStore_init,2a0f934f185284c08e980987814109d4fe724d764c7cbfb5eabf9060b5df95b6,79214,10930941,,asymmetric,"setEvidenceCPT(2,1,1)"
Sepolia,4,CPTStore_init,9f1b3df3861e4081410764c6f4d38433edc81a9fbfce93eb2a222d0ac8e20a3c,79195,10930942,,asymmetric,"setEvidenceCPT(2,0,0)"
Sepolia,4,CPTStore_init,32a6cc5bc4ebc608e1e4e9e655a6d4a6e1d94a2069d892d27a4a7b6d537b1a22,79195,10930943,,asymmetric,"setEvidenceCPT(3,1,0)"
Sepolia,4,CPTStore_init,0101fa2f664dc4864da0a138b9b62067d04eac4e34a8ea83b6aa51c7d3d1ed63,79204,10930944,,asymmetric,"setEvidenceCPT(3,0,1)"
Sepolia,4,CPTStore_init,742b4f4317c4d3630ebd9b6c1b2b5d1cabe79d16e3dfd9d9f4803c6742e850a9,79214,10930945,,asymmetric,"setEvidenceCPT(3,1,1)"
Sepolia,4,CPTStore_init,14eb372ff9d3a39eba7d23dbd51d51ada2c1605458e926e5a95b4a7fa20e2e30,79195,10930946,,asymmetric,"setEvidenceCPT(3,0,0)"
